Time,Temp,DSC
872.00,299.49,1.17
873.00,299.50,1.17
874.00,299.49,1.17
875.00,299.49,1.17
876.00,299.50,1.18
877.00,299.50,1.18
878.00,299.50,1.18
879.00,299.50,1.18
880.00,299.50,1.18
881.00,299.50,1.18
882.00,299.50,1.18
883.00,299.50,1.18
884.00,299.50,1.18
885.00,299.50,1.18
886.00,299.49,1.18
887.00,299.49,1.18
888.00,299.49,1.18
889.00,299.50,1.17
890.00,299.50,1.17
891.00,299.50,1.17
892.00,299.50,1.17
893.00,299.50,1.17
894.00,299.50,1.17
895.00,299.50,1.17
896.00,299.50,1.17
897.00,299.50,1.17
898.00,299.50,1.17
899.00,299.50,1.17
900.00,299.50,1.17
901.00,299.50,1.17
902.00,299.50,1.17
903.00,299.49,1.17
904.00,299.49,1.17
905.00,299.49,1.17
906.00,299.49,1.17
907.00,299.50,1.17
908.00,299.49,1.17
909.00,299.49,1.17
910.00,299.49,1.17
911.00,299.49,1.17
912.00,299.50,1.17
913.00,299.49,1.17
914.00,299.50,1.17
915.00,299.50,1.17
916.00,299.49,1.17
917.00,299.49,1.17
918.00,299.49,1.17
919.00,299.49,1.17
920.00,299.49,1.17
921.00,299.49,1.17
922.00,299.49,1.17
923.00,299.49,1.17
924.00,299.49,1.17
925.00,299.49,1.17
926.00,299.49,1.17
927.00,299.49,1.17
928.00,299.49,1.17
929.00,299.49,1.17
930.00,299.49,1.17
931.00,299.49,1.17
932.00,299.49,1.17
933.00,299.49,1.17
934.00,299.49,1.17
935.00,299.49,1.17
936.00,299.49,1.17
937.00,299.49,1.17
938.00,299.49,1.17
939.00,299.49,1.17
940.00,299.49,1.17
941.00,299.49,1.17
942.00,299.49,1.17
943.00,299.49,1.17
944.00,299.49,1.17
945.00,299.49,1.17
946.00,299.49,1.18
947.00,299.49,1.18
948.00,299.49,1.18
949.00,299.49,1.18
950.00,299.49,1.18
951.00,299.49,1.19
952.00,299.49,1.19
953.00,299.49,1.19
954.00,299.49,1.19
955.00,299.49,1.19
956.00,299.49,1.19
957.00,299.49,1.19
958.00,299.49,1.19
959.00,299.49,1.19
960.00,299.49,1.19
961.00,299.49,1.19
962.00,299.49,1.19
963.00,299.49,1.19
964.00,299.49,1.19
965.00,299.49,1.19
966.00,299.49,1.19
967.00,299.49,1.19
968.00,299.49,1.19
969.00,299.49,1.18
970.00,299.49,1.18
971.00,299.49,1.18
972.00,299.49,1.17
973.00,299.49,1.17
974.00,299.49,1.17
975.00,299.49,1.17
976.00,299.49,1.17
977.00,299.49,1.16
978.00,299.49,1.16
979.00,299.49,1.16
980.00,299.49,1.16
981.00,299.49,1.16
982.00,299.49,1.16
983.00,299.49,1.15
984.00,299.49,1.15
985.00,299.48,1.15
